date,total_quantity,total_amount,max_amount,min_amount,mean
2021-09-27,3655,8130420,3900,1300,2224
2021-09-28,72,93600,1300,1300,1300
2021-09-29,2880,5392850,3250,1080,1873
2021-09-30,80,80000,1000,1000,1000
2022-07-01,1074,4289320,4870,1480,3994
2022-07-04,1721,7178230,5000,2720,4171
2022-07-06,2137,7946900,4550,3000,3719
2022-07-08,1583,5011240,4280,2000,3166
2022-07-11,1845,5655760,4800,1550,3065
2022-07-13,984,3446470,5000,1500,3503
2022-07-15,1154,4172890,5430,1730,3616
2022-07-18,1964,9053320,6510,2150,4610
2022-07-20,1862,8030480,5990,1520,4313
2022-07-21,90,180000,2000,2000,2000
2022-07-22,1152,5503520,6270,2840,4777
2022-07-25,2189,8963270,5530,1350,4095
2022-07-26,45,67500,1500,1500,1500
2022-07-27,1606,6449550,4940,1740,4016
2022-07-29,2434,8913960,5110,1400,3662
2022-08-01,1088,5418200,6130,3130,4980
2022-08-03,113,680050,7000,5290,6018
2022-08-05,776,4440760,8250,2500,5723
2022-08-08,1278,7054720,7700,4060,5520
2022-08-10,624,4208700,10000,2500,6745
2022-08-12,647,4772270,10000,1890,7376
2022-08-15,1227,8028550,9200,2420,6543
2022-08-17,1086,8006120,9350,6020,7372
2022-08-19,1713,10081250,8300,2500,5885
2022-08-22,2766,15822650,7350,2500,5720
2022-08-24,2671,14652230,7300,3680,5486
2022-08-26,3583,15143680,5530,2000,4227
2022-08-29,3658,15738570,5740,1500,4303
2022-08-31,2309,10732780,6510,1830,4648
2022-09-02,2939,14958370,7000,1410,5090
2022-09-05,5645,31514970,7000,1850,5583
2022-09-07,4926,21127850,6790,2130,4289
2022-09-14,4580,19194640,6130,1630,4191
2022-09-15,42,84000,2000,2000,2000
2022-09-16,2454,8787860,6760,2000,3581
2022-09-19,2465,6925890,6000,1630,2810
2022-09-20,40,68800,1720,1720,1720
2022-09-21,2103,5064830,3330,1500,2408
2022-09-23,1700,5031430,4330,1320,2960
2022-09-26,1986,7445380,5110,2180,3749
2022-09-28,1594,7250000,5780,2550,4548
2022-09-30,3224,13243880,6130,1220,4108
2023-07-03,1609,7212720,6650,2050,4483
2023-07-05,955,5945840,7250,3640,6226
2023-07-07,1753,9992840,7000,2280,5700
2023-07-10,1252,6151750,6270,1880,4914
2023-07-12,578,3410910,7000,4450,5901
2023-07-14,658,3783800,7550,4340,5750
2023-07-17,706,3632800,7150,2500,5146
2023-07-19,904,4957090,6580,3680,5484
2023-07-21,1979,8287920,5040,2330,4188
2023-07-24,2087,7268100,4850,2030,3483
2023-07-26,1032,4683460,5000,3250,4538
2023-07-28,1308,8525940,8100,2480,6518
2023-07-31,890,5475800,7450,5250,6153
2023-08-02,2049,7285900,5920,1500,3556
2023-08-04,693,2864490,5740,2980,4133
2023-08-07,1893,7462430,5000,2100,3942
2023-08-09,1033,5080580,7000,3030,4918
2023-08-11,1065,6897100,8500,4970,6476
2023-08-14,2171,9912970,7100,1580,4566
2023-08-16,1358,6983030,7000,4130,5142
2023-08-18,1643,8143160,6230,3750,4956
2023-08-21,2332,11029990,6160,2100,4730
2023-08-23,1476,7629810,6020,2530,5169
2023-08-25,1844,9308210,6090,2000,5048
2023-08-28,2342,9682600,5220,2500,4134
2023-08-30,1345,5502610,5640,1530,4091
2023-09-01,1649,6984220,5080,3000,4235
2023-09-04,1805,7902290,5670,2250,4378
2023-09-06,1516,8160700,6650,4380,5383
2023-09-08,3116,12996830,5500,2630,4171
2023-09-11,2819,10977410,4730,2180,3894
2023-09-13,2206,8660240,4780,2100,3926
2023-09-15,1625,8202640,6510,2550,5048
2023-09-18,2270,14735470,7650,3500,6491
2023-09-20,2409,15545590,7550,3580,6453
2023-09-22,2305,15398800,7950,4200,6681
2023-09-25,2797,17586580,7550,2700,6288
2024-07-01,1611,5937420,5000,1500,3686
2024-07-03,1710,5476050,4280,1430,3202
2024-07-04,72,122400,1700,1700,1700
2024-07-05,1742,5618260,4480,1350,3225
2024-07-08,2084,5275360,3730,2000,2531
2024-07-09,24,52800,2200,2200,2200
2024-07-10,1411,2923650,3380,1110,2072
2024-07-11,92,139840,1520,1520,1520
2024-07-12,995,1819250,2310,1130,1828
2024-07-15,1144,2517830,2690,1380,2201
2024-07-17,529,2205060,5000,3000,4168
2024-07-19,965,5920150,8450,3500,6135
2024-07-22,2347,5499650,3700,1410,2343
2024-07-23,188,282000,1500,1500,1500
2024-07-24,991,3012730,4000,1830,3040
2024-07-26,994,2261880,3130,1500,2276
2024-07-29,298,1250640,4630,3000,4197
2024-07-31,618,2655560,5360,3000,4297
2024-08-02,1295,4196320,4400,2030,3240
2024-08-05,1804,5392460,5000,1650,2989
